filename, language, JSON with Comments, Markdown, JSON, Properties, JavaScript, XML, C#, HTML, TypeScript, CSS, comment, blank, total
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-messages\member-messages.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 7, 56
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\photo-editor\photo-editor.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\photo-editor\photo-editor.component.html, HTML, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 12, 75
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\photo-editor\photo-editor.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\photo-editor\photo-editor.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 10, 90
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\messages\messages.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\messages\messages.component.html, HTML, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 6, 59
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\messages\messages.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\messages\messages.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 9, 59
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\nav\nav.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\nav\nav.component.html, HTML, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 5, 43
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\nav\nav.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\nav\nav.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 7, 52
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\register\register.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\register\register.component.html, HTML, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 13, 83
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\register\register.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
